stage	timetodiagnose	Pathway	N	DE	p.value	p.adjusted
Localized	(4.2,5.6]	Viral myocarditis	59	0	1	1
Localized	(4.2,5.6]	Fluid shear stress and atherosclerosis	139	0	1	1
Localized	(5.6,7]	Glycolysis / Gluconeogenesis	68	0	1	1
Localized	(5.6,7]	Citrate cycle (TCA cycle)	30	0	1	1
Localized	(5.6,7]	Pentose phosphate pathway	30	0	1	1
Localized	(5.6,7]	Pentose and glucuronate interconversions	34	0	1	1
Localized	(5.6,7]	Fructose and mannose metabolism	33	0	1	1
Localized	(5.6,7]	Galactose metabolism	31	0	1	1
Localized	(5.6,7]	Ascorbate and aldarate metabolism	27	0	1	1
Localized	(5.6,7]	Fatty acid biosynthesis	13	0	1	1
Localized	(5.6,7]	Fatty acid elongation	30	0	1	1
Localized	(5.6,7]	Fatty acid degradation	44	0	1	1
Localized	(5.6,7]	Synthesis and degradation of ketone bodies	10	0	1	1
Localized	(5.6,7]	Steroid biosynthesis	19	0	1	1
Localized	(5.6,7]	Primary bile acid biosynthesis	17	0	1	1
Localized	(5.6,7]	Ubiquinone and other terpenoid-quinone biosynthesis	11	0	1	1
Localized	(5.6,7]	Steroid hormone biosynthesis	60	0	1	1
Localized	(5.6,7]	Oxidative phosphorylation	133	0	1	1
Localized	(5.6,7]	Arginine biosynthesis	21	0	1	1
Localized	(5.6,7]	Purine metabolism	174	0	1	1
Localized	(5.6,7]	Caffeine metabolism	5	0	1	1
Localized	(5.6,7]	Pyrimidine metabolism	101	0	1	1
Localized	(5.6,7]	Alanine, aspartate and glutamate metabolism	35	0	1	1
Localized	(5.6,7]	Glycine, serine and threonine metabolism	40	0	1	1
Localized	(5.6,7]	Cysteine and methionine metabolism	47	0	1	1
Localized	(5.6,7]	Valine, leucine and isoleucine degradation	48	0	1	1
Localized	(5.6,7]	Valine, leucine and isoleucine biosynthesis	4	0	1	1
Localized	(5.6,7]	Lysine degradation	59	0	1	1
Localized	(5.6,7]	Arginine and proline metabolism	50	0	1	1
Localized	(5.6,7]	Histidine metabolism	23	0	1	1
Localized	(5.6,7]	Tyrosine metabolism	36	0	1	1
Localized	(5.6,7]	Phenylalanine metabolism	17	0	1	1
Localized	(5.6,7]	Tryptophan metabolism	40	0	1	1
Localized	(5.6,7]	Phenylalanine, tyrosine and tryptophan biosynthesis	5	0	1	1
Localized	(5.6,7]	beta-Alanine metabolism	31	0	1	1
Localized	(5.6,7]	Taurine and hypotaurine metabolism	11	0	1	1
Localized	(5.6,7]	Phosphonate and phosphinate metabolism	6	0	1	1
Localized	(5.6,7]	Selenocompound metabolism	17	0	1	1
Localized	(5.6,7]	D-Glutamine and D-glutamate metabolism	5	0	1	1
Localized	(5.6,7]	D-Arginine and D-ornithine metabolism	1	0	1	1
Localized	(5.6,7]	Glutathione metabolism	56	0	1	1
Localized	(5.6,7]	Starch and sucrose metabolism	36	0	1	1
Localized	(5.6,7]	N-Glycan biosynthesis	49	0	1	1
Localized	(5.6,7]	Other glycan degradation	18	0	1	1
Localized	(5.6,7]	Mucin type O-glycan biosynthesis	31	0	1	1
Localized	(5.6,7]	Other types of O-glycan biosynthesis	22	0	1	1
Localized	(5.6,7]	Mannose type O-glycan biosynthesis	23	0	1	1
Localized	(5.6,7]	Amino sugar and nucleotide sugar metabolism	48	0	1	1
Localized	(5.6,7]	Neomycin, kanamycin and gentamicin biosynthesis	5	0	1	1
Localized	(5.6,7]	Glycosaminoglycan degradation	19	0	1	1
Localized	(5.6,7]	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	0	1	1
Localized	(5.6,7]	Glycosaminoglycan biosynthesis - keratan sulfate	14	0	1	1
Localized	(5.6,7]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	0	1	1
Localized	(5.6,7]	Glycerolipid metabolism	61	0	1	1
Localized	(5.6,7]	Inositol phosphate metabolism	74	0	1	1
Localized	(5.6,7]	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	0	1	1
Localized	(5.6,7]	Glycerophospholipid metabolism	97	0	1	1
Localized	(5.6,7]	Ether lipid metabolism	47	0	1	1
Localized	(5.6,7]	Arachidonic acid metabolism	63	0	1	1
Localized	(5.6,7]	Linoleic acid metabolism	29	0	1	1
Localized	(5.6,7]	alpha-Linolenic acid metabolism	25	0	1	1
Localized	(5.6,7]	Sphingolipid metabolism	47	0	1	1
Localized	(5.6,7]	Glycosphingolipid biosynthesis - lacto and neolacto series	27	0	1	1
Localized	(5.6,7]	Glycosphingolipid biosynthesis - globo and isoglobo series	15	0	1	1
Localized	(5.6,7]	Glycosphingolipid biosynthesis - ganglio series	15	0	1	1
Localized	(5.6,7]	Pyruvate metabolism	39	0	1	1
Localized	(5.6,7]	Glyoxylate and dicarboxylate metabolism	30	0	1	1
Localized	(5.6,7]	Propanoate metabolism	32	0	1	1
Localized	(5.6,7]	Butanoate metabolism	28	0	1	1
Localized	(5.6,7]	One carbon pool by folate	20	0	1	1
Localized	(5.6,7]	Thiamine metabolism	16	0	1	1
Localized	(5.6,7]	Riboflavin metabolism	8	0	1	1
Localized	(5.6,7]	Vitamin B6 metabolism	6	0	1	1
Localized	(5.6,7]	Nicotinate and nicotinamide metabolism	30	0	1	1
Localized	(5.6,7]	Pantothenate and CoA biosynthesis	19	0	1	1
Localized	(5.6,7]	Biotin metabolism	3	0	1	1
Localized	(5.6,7]	Lipoic acid metabolism	3	0	1	1
Localized	(5.6,7]	Folate biosynthesis	26	0	1	1
Localized	(5.6,7]	Retinol metabolism	67	0	1	1
Localized	(5.6,7]	Porphyrin and chlorophyll metabolism	42	0	1	1
Localized	(5.6,7]	Terpenoid backbone biosynthesis	22	0	1	1
Localized	(5.6,7]	Nitrogen metabolism	17	0	1	1
Localized	(5.6,7]	Sulfur metabolism	9	0	1	1
Localized	(5.6,7]	Aminoacyl-tRNA biosynthesis	66	0	1	1
Localized	(5.6,7]	Metabolism of xenobiotics by cytochrome P450	76	0	1	1
Localized	(5.6,7]	Drug metabolism - cytochrome P450	72	0	1	1
Localized	(5.6,7]	Drug metabolism - other enzymes	79	0	1	1
Localized	(5.6,7]	Biosynthesis of unsaturated fatty acids	27	0	1	1
Localized	(5.6,7]	Metabolic pathways	1305	0	1	1
Localized	(5.6,7]	Carbon metabolism	116	0	1	1
Localized	(5.6,7]	2-Oxocarboxylic acid metabolism	18	0	1	1
Localized	(5.6,7]	Fatty acid metabolism	48	0	1	1
Localized	(5.6,7]	Biosynthesis of amino acids	75	0	1	1
Localized	(5.6,7]	EGFR tyrosine kinase inhibitor resistance	79	0	1	1
Localized	(5.6,7]	Endocrine resistance	98	0	1	1
Localized	(5.6,7]	Antifolate resistance	31	0	1	1
Localized	(5.6,7]	Platinum drug resistance	73	0	1	1
Localized	(5.6,7]	ABC transporters	44	0	1	1
Localized	(5.6,7]	Ribosome biogenesis in eukaryotes	105	0	1	1
Localized	(5.6,7]	Ribosome	153	0	1	1
Localized	(5.6,7]	RNA transport	171	0	1	1
Localized	(5.6,7]	mRNA surveillance pathway	91	0	1	1
Localized	(5.6,7]	RNA degradation	79	0	1	1
Localized	(5.6,7]	RNA polymerase	31	0	1	1
Localized	(5.6,7]	Basal transcription factors	45	0	1	1
Localized	(5.6,7]	DNA replication	36	0	1	1
Localized	(5.6,7]	Spliceosome	134	0	1	1
Localized	(5.6,7]	Proteasome	45	0	1	1
Localized	(5.6,7]	Protein export	23	0	1	1
Localized	(5.6,7]	PPAR signaling pathway	74	0	1	1
Localized	(5.6,7]	Base excision repair	33	0	1	1
Localized	(5.6,7]	Nucleotide excision repair	47	0	1	1
Localized	(5.6,7]	Mismatch repair	23	0	1	1
Localized	(5.6,7]	Homologous recombination	41	0	1	1
Localized	(5.6,7]	Non-homologous end-joining	13	0	1	1
Localized	(5.6,7]	Fanconi anemia pathway	54	0	1	1
Localized	(5.6,7]	MAPK signaling pathway	295	0	1	1
Localized	(5.6,7]	ErbB signaling pathway	85	0	1	1
Localized	(5.6,7]	Ras signaling pathway	232	0	1	1
Localized	(5.6,7]	Rap1 signaling pathway	206	0	1	1
Localized	(5.6,7]	Calcium signaling pathway	183	0	1	1
Localized	(5.6,7]	cGMP-PKG signaling pathway	163	0	1	1
Localized	(5.6,7]	cAMP signaling pathway	199	0	1	1
Localized	(5.6,7]	Cytokine-cytokine receptor interaction	294	0	1	1
Localized	(5.6,7]	Chemokine signaling pathway	189	0	1	1
Localized	(5.6,7]	NF-kappa B signaling pathway	95	0	1	1
Localized	(5.6,7]	HIF-1 signaling pathway	100	0	1	1
Localized	(5.6,7]	FoxO signaling pathway	132	0	1	1
Localized	(5.6,7]	Phosphatidylinositol signaling system	99	0	1	1
Localized	(5.6,7]	Sphingolipid signaling pathway	118	0	1	1
Localized	(5.6,7]	Phospholipase D signaling pathway	146	0	1	1
Localized	(5.6,7]	Neuroactive ligand-receptor interaction	277	0	1	1
Localized	(5.6,7]	Cell cycle	124	0	1	1
Localized	(5.6,7]	Oocyte meiosis	125	0	1	1
Localized	(5.6,7]	p53 signaling pathway	72	0	1	1
Localized	(5.6,7]	Ubiquitin mediated proteolysis	137	0	1	1
Localized	(5.6,7]	Sulfur relay system	8	0	1	1
Localized	(5.6,7]	SNARE interactions in vesicular transport	34	0	1	1
Localized	(5.6,7]	Autophagy - other	32	0	1	1
Localized	(5.6,7]	Mitophagy - animal	65	0	1	1
Localized	(5.6,7]	Autophagy - animal	128	0	1	1
Localized	(5.6,7]	Protein processing in endoplasmic reticulum	165	0	1	1
Localized	(5.6,7]	Lysosome	123	0	1	1
Localized	(5.6,7]	Endocytosis	244	0	1	1
Localized	(5.6,7]	Phagosome	152	0	1	1
Localized	(5.6,7]	Peroxisome	83	0	1	1
Localized	(5.6,7]	mTOR signaling pathway	151	0	1	1
Localized	(5.6,7]	PI3K-Akt signaling pathway	354	0	1	1
Localized	(5.6,7]	AMPK signaling pathway	120	0	1	1
Localized	(5.6,7]	Apoptosis	136	0	1	1
Localized	(5.6,7]	Longevity regulating pathway	89	0	1	1
Localized	(5.6,7]	Longevity regulating pathway - multiple species	62	0	1	1
Localized	(5.6,7]	Apoptosis - multiple species	33	0	1	1
Localized	(5.6,7]	Ferroptosis	40	0	1	1
Localized	(5.6,7]	Necroptosis	162	0	1	1
Localized	(5.6,7]	Cellular senescence	160	0	1	1
Localized	(5.6,7]	Cardiac muscle contraction	78	0	1	1
Localized	(5.6,7]	Adrenergic signaling in cardiomyocytes	144	0	1	1
Localized	(5.6,7]	Vascular smooth muscle contraction	121	0	1	1
Localized	(5.6,7]	Wnt signaling pathway	149	0	1	1
Localized	(5.6,7]	Notch signaling pathway	48	0	1	1
Localized	(5.6,7]	Hedgehog signaling pathway	47	0	1	1
Localized	(5.6,7]	TGF-beta signaling pathway	84	0	1	1
Localized	(5.6,7]	Axon guidance	175	0	1	1
Localized	(5.6,7]	VEGF signaling pathway	59	0	1	1
Localized	(5.6,7]	Apelin signaling pathway	137	0	1	1
Localized	(5.6,7]	Osteoclast differentiation	128	0	1	1
Localized	(5.6,7]	Hippo signaling pathway	154	0	1	1
Localized	(5.6,7]	Hippo signaling pathway - multiple species	29	0	1	1
Localized	(5.6,7]	Focal adhesion	199	0	1	1
Localized	(5.6,7]	ECM-receptor interaction	82	0	1	1
Localized	(5.6,7]	Cell adhesion molecules (CAMs)	144	0	1	1
Localized	(5.6,7]	Adherens junction	72	0	1	1
Localized	(5.6,7]	Tight junction	170	0	1	1
Localized	(5.6,7]	Gap junction	88	0	1	1
Localized	(5.6,7]	Signaling pathways regulating pluripotency of stem cells	139	0	1	1
Localized	(5.6,7]	Complement and coagulation cascades	79	0	1	1
Localized	(5.6,7]	Platelet activation	123	0	1	1
Localized	(5.6,7]	Antigen processing and presentation	77	0	1	1
Localized	(5.6,7]	Renin-angiotensin system	23	0	1	1
Localized	(5.6,7]	Toll-like receptor signaling pathway	104	0	1	1
Localized	(5.6,7]	NOD-like receptor signaling pathway	168	0	1	1
Localized	(5.6,7]	RIG-I-like receptor signaling pathway	70	0	1	1
Localized	(5.6,7]	Cytosolic DNA-sensing pathway	63	0	1	1
Localized	(5.6,7]	C-type lectin receptor signaling pathway	104	0	1	1
Localized	(5.6,7]	JAK-STAT signaling pathway	162	0	1	1
Localized	(5.6,7]	Hematopoietic cell lineage	97	0	1	1
Localized	(5.6,7]	Natural killer cell mediated cytotoxicity	131	0	1	1
Localized	(5.6,7]	IL-17 signaling pathway	93	0	1	1
Localized	(5.6,7]	Th1 and Th2 cell differentiation	92	0	1	1
Localized	(5.6,7]	Th17 cell differentiation	107	0	1	1
Localized	(5.6,7]	T cell receptor signaling pathway	101	0	1	1
Localized	(5.6,7]	B cell receptor signaling pathway	71	0	1	1
Localized	(5.6,7]	Fc epsilon RI signaling pathway	68	0	1	1
Localized	(5.6,7]	Fc gamma R-mediated phagocytosis	91	0	1	1
Localized	(5.6,7]	TNF signaling pathway	110	0	1	1
Localized	(5.6,7]	Leukocyte transendothelial migration	112	0	1	1
Localized	(5.6,7]	Intestinal immune network for IgA production	49	0	1	1
Localized	(5.6,7]	Circadian rhythm	31	0	1	1
Localized	(5.6,7]	Circadian entrainment	96	0	1	1
Localized	(5.6,7]	Thermogenesis	229	0	1	1
Localized	(5.6,7]	Long-term potentiation	67	0	1	1
Localized	(5.6,7]	Synaptic vesicle cycle	63	0	1	1
Localized	(5.6,7]	Neurotrophin signaling pathway	119	0	1	1
Localized	(5.6,7]	Retrograde endocannabinoid signaling	148	0	1	1
Localized	(5.6,7]	Glutamatergic synapse	114	0	1	1
Localized	(5.6,7]	Cholinergic synapse	112	0	1	1
Localized	(5.6,7]	Serotonergic synapse	115	0	1	1
Localized	(5.6,7]	GABAergic synapse	88	0	1	1
Localized	(5.6,7]	Dopaminergic synapse	131	0	1	1
Localized	(5.6,7]	Long-term depression	60	0	1	1
Localized	(5.6,7]	Olfactory transduction	448	0	1	1
Localized	(5.6,7]	Taste transduction	83	0	1	1
Localized	(5.6,7]	Phototransduction	28	0	1	1
Localized	(5.6,7]	Inflammatory mediator regulation of TRP channels	99	0	1	1
Localized	(5.6,7]	Regulation of actin cytoskeleton	213	0	1	1
Localized	(5.6,7]	Insulin signaling pathway	137	0	1	1
Localized	(5.6,7]	Insulin secretion	85	0	1	1
Localized	(5.6,7]	GnRH signaling pathway	93	0	1	1
Localized	(5.6,7]	Ovarian steroidogenesis	49	0	1	1
Localized	(5.6,7]	Progesterone-mediated oocyte maturation	99	0	1	1
Localized	(5.6,7]	Estrogen signaling pathway	137	0	1	1
Localized	(5.6,7]	Melanogenesis	101	0	1	1
Localized	(5.6,7]	Prolactin signaling pathway	70	0	1	1
Localized	(5.6,7]	Thyroid hormone synthesis	74	0	1	1
Localized	(5.6,7]	Thyroid hormone signaling pathway	116	0	1	1
Localized	(5.6,7]	Adipocytokine signaling pathway	69	0	1	1
Localized	(5.6,7]	Oxytocin signaling pathway	152	0	1	1
Localized	(5.6,7]	Glucagon signaling pathway	103	0	1	1
Localized	(5.6,7]	Regulation of lipolysis in adipocytes	54	0	1	1
Localized	(5.6,7]	Renin secretion	65	0	1	1
Localized	(5.6,7]	Aldosterone synthesis and secretion	96	0	1	1
Localized	(5.6,7]	Relaxin signaling pathway	130	0	1	1
Localized	(5.6,7]	Cortisol synthesis and secretion	64	0	1	1
Localized	(5.6,7]	Parathyroid hormone synthesis, secretion and action	106	0	1	1
Localized	(5.6,7]	Type II diabetes mellitus	46	0	1	1
Localized	(5.6,7]	Insulin resistance	107	0	1	1
Localized	(5.6,7]	Non-alcoholic fatty liver disease (NAFLD)	149	0	1	1
Localized	(5.6,7]	AGE-RAGE signaling pathway in diabetic complications	99	0	1	1
Localized	(5.6,7]	Cushing syndrome	154	0	1	1
Localized	(5.6,7]	Type I diabetes mellitus	43	0	1	1
Localized	(5.6,7]	Maturity onset diabetes of the young	26	0	1	1
Localized	(5.6,7]	Aldosterone-regulated sodium reabsorption	37	0	1	1
Localized	(5.6,7]	Endocrine and other factor-regulated calcium reabsorption	47	0	1	1
Localized	(5.6,7]	Vasopressin-regulated water reabsorption	44	0	1	1
Localized	(5.6,7]	Proximal tubule bicarbonate reclamation	23	0	1	1
Localized	(5.6,7]	Collecting duct acid secretion	27	0	1	1
Localized	(5.6,7]	Salivary secretion	90	0	1	1
Localized	(5.6,7]	Gastric acid secretion	75	0	1	1
Localized	(5.6,7]	Pancreatic secretion	96	0	1	1
Localized	(5.6,7]	Carbohydrate digestion and absorption	44	0	1	1
Localized	(5.6,7]	Protein digestion and absorption	90	0	1	1
Localized	(5.6,7]	Fat digestion and absorption	41	0	1	1
Localized	(5.6,7]	Bile secretion	71	0	1	1
Localized	(5.6,7]	Vitamin digestion and absorption	24	0	1	1
Localized	(5.6,7]	Mineral absorption	51	0	1	1
Localized	(5.6,7]	Cholesterol metabolism	50	0	1	1
Localized	(5.6,7]	Alzheimer disease	171	0	1	1
Localized	(5.6,7]	Parkinson disease	142	0	1	1
Localized	(5.6,7]	Amyotrophic lateral sclerosis (ALS)	51	0	1	1
Localized	(5.6,7]	Huntington disease	193	0	1	1
Localized	(5.6,7]	Prion diseases	35	0	1	1
Localized	(5.6,7]	Cocaine addiction	49	0	1	1
Localized	(5.6,7]	Amphetamine addiction	68	0	1	1
Localized	(5.6,7]	Morphine addiction	91	0	1	1
Localized	(5.6,7]	Nicotine addiction	40	0	1	1
Localized	(5.6,7]	Alcoholism	180	0	1	1
Localized	(5.6,7]	Bacterial invasion of epithelial cells	74	0	1	1
Localized	(5.6,7]	Vibrio cholerae infection	50	0	1	1
Localized	(5.6,7]	Epithelial cell signaling in Helicobacter pylori infection	68	0	1	1
Localized	(5.6,7]	Pathogenic Escherichia coli infection	55	0	1	1
Localized	(5.6,7]	Shigellosis	65	0	1	1
Localized	(5.6,7]	Salmonella infection	86	0	1	1
Localized	(5.6,7]	Pertussis	76	0	1	1
Localized	(5.6,7]	Legionellosis	55	0	1	1
Localized	(5.6,7]	Leishmaniasis	74	0	1	1
Localized	(5.6,7]	Chagas disease (American trypanosomiasis)	102	0	1	1
Localized	(5.6,7]	African trypanosomiasis	35	0	1	1
Localized	(5.6,7]	Malaria	49	0	1	1
Localized	(5.6,7]	Toxoplasmosis	113	0	1	1
Localized	(5.6,7]	Amoebiasis	96	0	1	1
Localized	(5.6,7]	Staphylococcus aureus infection	56	0	1	1
Localized	(5.6,7]	Tuberculosis	179	0	1	1
Localized	(5.6,7]	Hepatitis C	131	0	1	1
Localized	(5.6,7]	Hepatitis B	144	0	1	1
Localized	(5.6,7]	Measles	132	0	1	1
Localized	(5.6,7]	Human cytomegalovirus infection	225	0	1	1
Localized	(5.6,7]	Influenza A	171	0	1	1
Localized	(5.6,7]	Human papillomavirus infection	339	0	1	1
Localized	(5.6,7]	Human T-cell leukemia virus 1 infection	219	0	1	1
Localized	(5.6,7]	Kaposi sarcoma-associated herpesvirus infection	186	0	1	1
Localized	(5.6,7]	Herpes simplex infection	185	0	1	1
Localized	(5.6,7]	Epstein-Barr virus infection	201	0	1	1
Localized	(5.6,7]	Human immunodeficiency virus 1 infection	212	0	1	1
Localized	(5.6,7]	Pathways in cancer	526	0	1	1
Localized	(5.6,7]	Transcriptional misregulation in cancer	186	0	1	1
Localized	(5.6,7]	Viral carcinogenesis	201	0	1	1
Localized	(5.6,7]	Chemical carcinogenesis	82	0	1	1
Localized	(5.6,7]	Proteoglycans in cancer	201	0	1	1
Localized	(5.6,7]	MicroRNAs in cancer	299	0	1	1
Localized	(5.6,7]	Colorectal cancer	86	0	1	1
Localized	(5.6,7]	Renal cell carcinoma	69	0	1	1
Localized	(5.6,7]	Pancreatic cancer	75	0	1	1
Localized	(5.6,7]	Endometrial cancer	58	0	1	1
Localized	(5.6,7]	Glioma	71	0	1	1
Localized	(5.6,7]	Prostate cancer	97	0	1	1
Localized	(5.6,7]	Thyroid cancer	37	0	1	1
Localized	(5.6,7]	Basal cell carcinoma	63	0	1	1
Localized	(5.6,7]	Melanoma	72	0	1	1
Localized	(5.6,7]	Bladder cancer	41	0	1	1
Localized	(5.6,7]	Chronic myeloid leukemia	76	0	1	1
Localized	(5.6,7]	Acute myeloid leukemia	66	0	1	1
Localized	(5.6,7]	Small cell lung cancer	93	0	1	1
Localized	(5.6,7]	Non-small cell lung cancer	66	0	1	1
Localized	(5.6,7]	Breast cancer	147	0	1	1
Localized	(5.6,7]	Hepatocellular carcinoma	168	0	1	1
Localized	(5.6,7]	Gastric cancer	149	0	1	1
Localized	(5.6,7]	Central carbon metabolism in cancer	65	0	1	1
Localized	(5.6,7]	Choline metabolism in cancer	99	0	1	1
Localized	(5.6,7]	Asthma	31	0	1	1
Localized	(5.6,7]	Autoimmune thyroid disease	53	0	1	1
Localized	(5.6,7]	Inflammatory bowel disease (IBD)	65	0	1	1
Localized	(5.6,7]	Systemic lupus erythematosus	133	0	1	1
Localized	(5.6,7]	Rheumatoid arthritis	90	0	1	1
Localized	(5.6,7]	Allograft rejection	38	0	1	1
Localized	(5.6,7]	Graft-versus-host disease	41	0	1	1
Localized	(5.6,7]	Primary immunodeficiency	37	0	1	1
Localized	(5.6,7]	Hypertrophic cardiomyopathy (HCM)	83	0	1	1
Localized	(5.6,7]	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	72	0	1	1
Localized	(5.6,7]	Dilated cardiomyopathy (DCM)	90	0	1	1
Localized	(5.6,7]	Viral myocarditis	59	0	1	1
Localized	(5.6,7]	Fluid shear stress and atherosclerosis	139	0	1	1
Localized	(7,8.4]	Glycolysis / Gluconeogenesis	68	1	0.963038082046668	1
Localized	(7,8.4]	Citrate cycle (TCA cycle)	30	0	1	1
Localized	(7,8.4]	Pentose phosphate pathway	30	1	0.765695404126461	1
Localized	(7,8.4]	Pentose and glucuronate interconversions	34	0	1	1
Localized	(7,8.4]	Fructose and mannose metabolism	33	0	1	1
Localized	(7,8.4]	Galactose metabolism	31	1	0.776782273026513	1
Localized	(7,8.4]	Ascorbate and aldarate metabolism	27	0	1	1
Localized	(7,8.4]	Fatty acid biosynthesis	13	0	1	1
Localized	(7,8.4]	Fatty acid degradation	44	2	0.621122002734964	1
Localized	(7,8.4]	Synthesis and degradation of ketone bodies	10	0	1	1
Localized	(7,8.4]	Steroid biosynthesis	19	1	0.6008252924198	1
Localized	(7,8.4]	Primary bile acid biosynthesis	17	0	1	1
Localized	(7,8.4]	Steroid hormone biosynthesis	60	0	1	1
Localized	(7,8.4]	Oxidative phosphorylation	133	3	0.954068596921502	1
Localized	(7,8.4]	Arginine biosynthesis	21	0	1	1
Localized	(7,8.4]	Purine metabolism	174	7	0.719630354124427	1
Localized	(7,8.4]	Caffeine metabolism	5	0	1	1
Localized	(7,8.4]	Pyrimidine metabolism	101	2	0.955252463161143	1
Localized	(7,8.4]	Alanine, aspartate and glutamate metabolism	35	1	0.816138343391017	1
Localized	(7,8.4]	Glycine, serine and threonine metabolism	40	0	1	1
Localized	(7,8.4]	Cysteine and methionine metabolism	47	2	0.657068938413681	1
Localized	(7,8.4]	Valine, leucine and isoleucine degradation	48	1	0.902186640601295	1
Localized	(7,8.4]	Valine, leucine and isoleucine biosynthesis	4	0	1	1
Localized	(7,8.4]	Arginine and proline metabolism	50	1	0.91124632176841	1
Localized	(7,8.4]	Histidine metabolism	23	0	1	1
Localized	(7,8.4]	Tyrosine metabolism	36	2	0.511433526411914	1
Localized	(7,8.4]	Phenylalanine metabolism	17	1	0.560261084966661	1
Localized	(7,8.4]	Tryptophan metabolism	40	1	0.855745639989746	1
Localized	(7,8.4]	Phenylalanine, tyrosine and tryptophan biosynthesis	5	0	1	1
Localized	(7,8.4]	Taurine and hypotaurine metabolism	11	0	1	1
Localized	(7,8.4]	Selenocompound metabolism	17	1	0.560261084966661	1
Localized	(7,8.4]	D-Glutamine and D-glutamate metabolism	5	0	1	1
Localized	(7,8.4]	D-Arginine and D-ornithine metabolism	1	0	1	1
Localized	(7,8.4]	Glutathione metabolism	56	1	0.933704977247644	1
Localized	(7,8.4]	Starch and sucrose metabolism	36	2	0.511433526411914	1
Localized	(7,8.4]	N-Glycan biosynthesis	49	1	0.906826217815733	1
Localized	(7,8.4]	Other glycan degradation	18	0	1	1
Localized	(7,8.4]	Other types of O-glycan biosynthesis	22	1	0.654781939813139	1
Localized	(7,8.4]	Mannose type O-glycan biosynthesis	23	1	0.671099484755502	1
Localized	(7,8.4]	Amino sugar and nucleotide sugar metabolism	48	1	0.902186640601295	1
Localized	(7,8.4]	Neomycin, kanamycin and gentamicin biosynthesis	5	0	1	1
Localized	(7,8.4]	Glycosaminoglycan degradation	19	0	1	1
Localized	(7,8.4]	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	20	1	0.619685627596744	1
Localized	(7,8.4]	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	24	1	0.686647830359325	1
Localized	(7,8.4]	Glycerolipid metabolism	61	1	0.948022814044771	1
Localized	(7,8.4]	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	25	1	0.701463137775512	1
Localized	(7,8.4]	Arachidonic acid metabolism	63	1	0.9528452947028	1
Localized	(7,8.4]	Linoleic acid metabolism	29	0	1	1
Localized	(7,8.4]	alpha-Linolenic acid metabolism	25	0	1	1
Localized	(7,8.4]	Glycosphingolipid biosynthesis - lacto and neolacto series	27	0	1	1
Localized	(7,8.4]	Glycosphingolipid biosynthesis - globo and isoglobo series	15	0	1	1
Localized	(7,8.4]	Glycosphingolipid biosynthesis - ganglio series	15	0	1	1
Localized	(7,8.4]	Pyruvate metabolism	39	1	0.84857164525626	1
Localized	(7,8.4]	Glyoxylate and dicarboxylate metabolism	30	0	1	1
Localized	(7,8.4]	Propanoate metabolism	32	1	0.787345951420526	1
Localized	(7,8.4]	Butanoate metabolism	28	1	0.741847483950057	1
Localized	(7,8.4]	One carbon pool by folate	20	0	1	1
Localized	(7,8.4]	Thiamine metabolism	16	1	0.538463014541125	1
Localized	(7,8.4]	Riboflavin metabolism	8	0	1	1
Localized	(7,8.4]	Vitamin B6 metabolism	6	0	1	1
Localized	(7,8.4]	Pantothenate and CoA biosynthesis	19	1	0.6008252924198	1
Localized	(7,8.4]	Biotin metabolism	3	0	1	1
Localized	(7,8.4]	Lipoic acid metabolism	3	0	1	1
Localized	(7,8.4]	Folate biosynthesis	26	0	1	1
Localized	(7,8.4]	Retinol metabolism	67	2	0.831390658438565	1
Localized	(7,8.4]	Porphyrin and chlorophyll metabolism	42	0	1	1
Localized	(7,8.4]	Terpenoid backbone biosynthesis	22	0	1	1
Localized	(7,8.4]	Nitrogen metabolism	17	0	1	1
Localized	(7,8.4]	Sulfur metabolism	9	0	1	1
Localized	(7,8.4]	Aminoacyl-tRNA biosynthesis	66	0	1	1
Localized	(7,8.4]	Metabolism of xenobiotics by cytochrome P450	76	1	0.974975278964986	1
Localized	(7,8.4]	Drug metabolism - cytochrome P450	72	1	0.969585173965955	1
Localized	(7,8.4]	Drug metabolism - other enzymes	79	2	0.892982259587731	1
Localized	(7,8.4]	Metabolic pathways	1305	50	0.960557545602633	1
Localized	(7,8.4]	Carbon metabolism	116	3	0.91639728805824	1
Localized	(7,8.4]	2-Oxocarboxylic acid metabolism	18	0	1	1
Localized	(7,8.4]	Biosynthesis of amino acids	75	1	0.973724398277067	1
Localized	(7,8.4]	Platinum drug resistance	73	3	0.675896762422098	1
Localized	(7,8.4]	Ribosome biogenesis in eukaryotes	105	1	0.993935859344544	1
Localized	(7,8.4]	Ribosome	153	1	0.999426722226408	1
Localized	(7,8.4]	RNA transport	171	8	0.560449630049468	1
Localized	(7,8.4]	RNA polymerase	31	0	1	1
Localized	(7,8.4]	DNA replication	36	0	1	1
Localized	(7,8.4]	Spliceosome	134	3	0.955695995662558	1
